Sample,Total length,Segment,Width,Colour,dwt mg
52A-4.1,7.8,5,W,A,3.9
52A-4.1,7.8,6,W,A,3.4
52A-4.1,7.8,7,N,A,1.7
52A-4.1,8,1,W,A,2.6
52A-4.1,8,2,W,A,3.1
52A-4.1,8,3,W,A,5.5
52A-4.1,8,4,W,A,4.8
52A-4.1,8,5,W,A,5.4
52A-4.1,8,6,W,A,3.8
52A-4.1,8,7,W,A,5.9
52A-4.1,8,8,W,A,4.3
52A-4.0,7.2,1,N,A,2.8
52A-4.0,7.2,2,W,A,4.8
52A-4.0,7.2,3,W,A,3.9
52A-4.0,7.2,4,W,A,5.3
52A-4.0,7.2,5,W,A,6.7
52A-4.0,7.2,6,W,A,5.6
52A-4.0,7.2,7,W,B,3.6
52A-4.0,9.2,1,W,A,2.9
52A-4.0,9.2,2,W,A,4.8
52A-4.0,9.2,3,W,A,3.5
52A-4.0,9.2,4,W,A,4.1
52A-4.0,9.2,5,W,A,3.2
52A-4.0,9.2,6,W,A,3.1
52A-4.0,9.2,7,W,B,4.1
52A-4.0,9.2,8,W,B,2.6
52A-4.0,9.2,9,N,D,1.2
52A-4.0,8.8,1,W,A,3.7
52A-4.0,8.8,2,W,A,6
52A-4.0,8.8,3,W,A,6
52A-4.0,8.8,4,W,A,5.5
52A-4.0,8.8,5,W,A,5.4
52A-4.0,8.8,6,W,A,3.4
52A-4.0,8.8,7,W,B,3.6
52A-4.0,8.8,8,N,D,1.3
52A-1.1,6.3,1,N,A,2.6
52A-1.1,6.3,2,W,A,6.3
52A-1.1,6.3,3,W,A,6.2
52A-1.1,6.3,4,W,A,5.5
52A-1.1,6.3,5,W,A,5.8
52A-1.1,6.3,6,W,A,3.8
52A-1.1,8.1,1,W,A,4.4
52A-1.1,8.1,2,W,A,4.9
52A-1.1,8.1,3,W,A,3.6
52A-1.1,8.1,4,W,A,4.5
52A-1.1,8.1,5,W,A,2.7
52A-1.1,8.1,6,W,A,3
52A-1.1,8.1,7,W,A,2.9
52A-1.1,8.1,8,N,B,2.1
52A-1.1,4.3,1,N,A,1.6
52A-1.1,4.3,2,W,A,3.2
52A-1.1,4.3,3,W,A,4
52A-1.1,4.3,4,W,B,3.3
